id,risk,recommendation,onto_work_shared,individual_activation,entrypoint_words,assessment
anthropic/academy-guide,moderate,adapt,False,passed,1209,The learning-intent trigger and mid-task exclusion are sensible. The unconditional two-item cap also limits requests whose actual deliverable is a larger training inventory; silent catalog errors can conceal why that inventory is incomplete. Static semantic review only; both model evaluation cases below are planned and unexecuted.
anthropic/algorithmic-art,high,adapt,False,passed,2761,"Reproducible seeds and controls are strong assets. The mandatory philosophy essay and literal Anthropic-branded light-theme viewer unnecessarily narrow broad art requests. The template depends on remote p5.js and Google Fonts. Reviewed template sections were viewer lines 1–130 and generator lines 1–100, not all template code. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/brand-guidelines,moderate,domain-only,False,passed,329,The brand constraints are appropriate for an Anthropic-branded brief. The generic tail of the trigger extends to company design standards without requiring that brand. Restrict selection to the intended identity. Static semantic review only; both model evaluation cases below are planned and unexecuted.
anthropic/canvas-design,high,adapt,False,passed,1749,"The body prioritizes a particular abstract museum-poster style across broad art requests, limits output formats, treats user instructions as non-constraining, and invents a prior user demand for perfection. These are direct brief-following hazards. The full entrypoint was read; font binaries were not visually reviewed. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/claude-api,high,adapt,False,failed,11626,"The full 568-line entrypoint and full prompt-audit reference were reviewed; other language guides and the large model-migration reference were not exhaustively reviewed. A local deterministic host probe actually failed to activate this 85,004-byte entrypoint under the provider-neutral SkillSession default 65,536-byte budget. This is a host blocker, not a native Codex result or model experiment. Separate semantic problems include the project-wide provider stop gate, conflicting SDK-discovery rules and overbroad prompt-cleanup heuristics. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/discernment-nudge,moderate,adapt,False,passed,1751,"The skill has good exclusions: silence by default, once per conversation, no nudge when verification is covered, and answer completion first. Its broad pre-finalization trigger and exact closing template nevertheless add output-format and unsolicited-follow-up risks. Preserve useful reflection while adapting its presentation to the request. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/frontend-design,moderate,adapt,True,passed,1516,"The explicit rule that the user’s visual brief wins, even when requesting otherwise discouraged styles, is a strong safeguard. Residual problems are an invented rejected-proposals backstory, an extra confirmation step and a mandatory uniqueness-planning sequence that does not distinguish new art direction from a tiny edit. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/internal-comms,moderate,adapt,True,passed,211,The small entrypoint uses progressive disclosure well. All four example guides were read; they contain organization-specific assumptions and absolute formatting/interview rules. Move actual company conventions to project-local skills and make shared examples optional defaults. Static semantic review only; both model evaluation cases below are planned and unexecuted.
anthropic/mcp-builder,moderate,adapt,True,passed,1143,"The protocol/security guidance is useful, including treating annotations as hints rather than security controls. The mandatory ten complex read-only exact-answer questions are a specialized benchmark, not a universal gate for every change. The full best-practices reference and evaluation guide lines 1–225 were reviewed; other language guides and remaining evaluation examples were not exhaustively reviewed. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/skill-creator,high,adapt,True,passed,5205,"There are strong lightweight and evaluation paths, including removal of unproductive instructions. This does not establish best-creator status on either target model. The Claude-specific harness, all-at-once orchestration and repeated test-set selection need adaptation. Full entrypoint, analyzer, comparator and grader were read; relevant run_eval/run_loop sections were inspected, not all supporting code. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/slack-gif-creator,moderate,adapt,False,passed,1103,"The utilities and distinction between direct uploaded-asset reuse and inspiration are useful. Some aesthetics are mandatory. The fully reviewed validator returns success based only on dimensions, so is_slack_ready is not proof of all upload constraints or playback quality. This review did not verify live Slack limits. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/theme-factory,moderate,adapt,False,passed,486,All ten theme Markdown specifications were read; the showcase PDF was not visually inspected. The unconditional show/ask/wait sequence repeats a choice the user may already have made. Keep themes as reusable data and make choice collection conditional. Static semantic review only; both model evaluation cases below are planned and unexecuted.
anthropic/web-artifacts-builder,high,host-only,False,passed,446,"The host scope is explicit and excludes simple single-file artifacts. Both shell scripts were read in full. The initializer imposes a large React/component setup, while the instructions recommend showing output before testing. Keep the compatible-host recipe optional and adapt its validation policy. Static semantic review only; both model evaluation cases below are planned and unexecuted."
anthropic/webapp-testing,moderate,adapt,True,passed,501,The discovery workflow is useful. Always requiring Python Playwright and networkidle ignores available browser surfaces and apps with continuous activity. The server helper was read in full without execution. The instruction to execute before reading also impedes legitimate inspection and troubleshooting. Static semantic review only; both model evaluation cases below are planned and unexecuted.
openai-plugins/openai-developers/build-chatgpt-app,moderate,adapt,True,passed,2707,"This is a strong domain guide with good scoping and reporting of unrun checks. The main risk is fetching five baseline documentation pages for every change, including edits that do not touch an SDK contract. The docs-workflow and repository-contract references were read in full; other archetype/scaffold/bridge references were not exhaustively reviewed. Prefer this canonical entry over the nearly identical curated chatgpt-apps import. Static semantic review only; both model evaluation cases below are planned and unexecuted."
